stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
par_5_11,0.076,0.045,4.487
par_5_133,8.897,8.934,4.511
par_5_142,12.435,12.465,8.414
par_5_144,10.388,10.42,6.242
par_5_18,7.223,7.262,3.202
par_5_25,0.802,0.765,5.236
par_5_46,1.64,1.61,5.488
par_5_51,4.377,4.416,1.815
par_5_57,1.906,1.895,5.772
par_5_61,3.014,3.033,4.916
par_5_10,3.377,3.345,6.982
par_5_59,4.484,4.455,7.72
par_5_75,7.196,7.185,8.273
par_5_87,6.181,6.164,7.963
par_5_90,7.977,7.975,7.976
par_5_122,1.56,1.586,4.1
par_5_145,10.392,10.43,6.914
par_5_58,10.218,10.255,7.274
par_5_64,8.998,9.036,5.241
par_5_69,7.209,7.171,11.388
par_5_70,8.386,8.348,12.713
par_5_93,6.072,6.033,10.255
par_5_15,15.175,15.213,11.279
par_5_31,10.483,10.522,6.392
par_5_84,16.297,16.336,12.188
par_5_92,7.557,7.519,11.974
par_5_1,8.206,8.192,11.623
par_5_24,9.228,9.213,12.613
par_5_26,3.223,3.185,7.642
par_5_28,1.121,1.112,5.127
par_5_30,7.181,7.166,10.674
par_5_40,4.709,4.701,7.986
par_5_52,4.641,4.603,9.066
par_5_62,6.449,6.411,10.85
par_5_7,6.483,6.468,10.025
par_5_13,11.905,11.925,11.806
par_5_9,9.341,9.359,9.734
par_10_1,8.318,8.355,3.961
par_10_2,8.895,8.933,4.513
par_10_3,9.215,9.252,4.82
par_10_4,9.204,9.241,4.773
par_10_5,9.641,9.678,5.209
par_10_6,10.011,10.048,5.598
par_10_7,10.314,10.351,5.925
par_10_8,11.093,11.131,6.77
par_10_9,11.338,11.376,7.063
par_10_10,7.286,7.279,10.237
par_10_23,9.345,9.363,9.739
par_8_17472,6.591,6.63,2.947
par_8_18074,6.693,6.732,2.963
par_8_1917,7.175,7.214,3.159
par_8_07313,8.401,8.424,5.383
par_8_12477,3.64,3.677,0.82
par_8_1285,5.506,5.538,1.628
par_8_5617,8.24,8.263,5.232
par_8_07333,11.823,11.849,8.257
par_8_07205,10.333,10.352,7.644
par_8_07207,11.333,11.35,8.759
par_8_07208,12.071,12.087,9.572
par_8_07209,12.845,12.859,10.445
par_8_07299,12.805,12.82,10.378
par_8_07300,12.138,12.154,9.625
par_8_07301,11.507,11.524,8.93
par_8_07302,10.525,10.544,7.824
par_8_07312,9.227,9.248,6.348
par_8_1283,4.5,4.535,0.519
par_8_1284,5.545,5.577,1.693
par_8_4770,4.034,4.069,0.468
par_8_1287,6.257,6.286,2.658
par_8_07077,5.509,5.533,2.985
par_8_07192,7.495,7.512,5.355
par_8_11760,7.313,7.33,5.178
par_8_242,5.466,5.487,3.374
par_8_243,5.494,5.515,3.422
par_8_3016,6.751,6.768,4.664
par_8_3017,6.758,6.776,4.65
par_8_3018,7.09,7.107,4.995
par_8_3019,7.104,7.121,4.987
par_8_4783,7.275,7.292,5.167
par_8_4784,7.528,7.545,5.402
par_8_50009,7.944,7.959,5.908
par_8_978,5.552,5.57,3.703
par_8_979,5.548,5.567,3.687
par_8_980,5.857,5.876,3.89
par_8_981,5.854,5.873,3.874
par_8_982,6.187,6.206,4.098
par_8_983,6.171,6.191,4.076
par_8_984,6.411,6.43,4.24
par_8_985,6.409,6.428,4.228
par_8_07101,8.403,8.402,8.262
par_8_07102,8.695,8.695,8.388
par_8_07182,8.673,8.673,8.362
par_8_07183,8.364,8.363,8.231
par_8_1069,7.223,7.223,7.207
par_8_1074,6.896,6.895,6.941
par_8_1075,6.835,6.835,6.791
par_8_1210,6.794,6.803,5.792
par_8_1211,6.813,6.822,5.806
par_8_1213,6.785,6.787,6.599
par_8_18510,5.775,5.784,5.058
par_8_4012,8.031,8.03,7.905
par_8_4013,8.094,8.093,7.964
par_8_4210,6.716,6.726,5.633
par_8_4400,6.041,6.051,5.122
par_8_4507,6.356,6.366,5.299
par_8_4509,6.695,6.706,5.501
par_8_4546,6.894,6.893,6.95
par_8_4547,6.815,6.815,6.781
par_8_4548,6.809,6.811,6.56
par_8_4552,7.236,7.236,7.227
par_8_4611,6.843,6.853,5.683
par_8_4612,6.767,6.775,5.958
par_8_4613,6.788,6.795,5.991
par_8_4636,6.019,6.027,5.235
par_8_4637,6.414,6.423,5.452
par_8_5108,7.914,7.913,7.865
par_8_5109,7.936,7.934,7.886
par_8_5321,7.684,7.683,7.623
par_8_5322,7.685,7.684,7.613
par_8_3514,9.993,10.01,7.529
par_8_07439,7.831,7.818,9.004
par_8_07529,7.566,7.554,8.622
par_8_08366,1.854,1.853,4.245
par_8_2612,5.826,5.816,7.142
par_8_2613,5.832,5.821,7.1
par_8_3353,4.372,4.361,6.107
par_8_4283,4.341,4.33,6.03
par_8_5150,5.599,5.588,7.002
par_8_07433,1.87,1.87,4.227
par_8_2611,3.511,3.505,5.176
par_8_3350,3.499,3.492,5.248
par_8_3351,3.789,3.779,5.582
par_8_3352,3.873,3.864,5.606
par_8_07537,12.578,12.574,12.275
par_8_10457,10.04,10.035,10.187
par_8_10458,9.999,9.994,10.148
par_8_07538,0.581,0.581,4.681
par_8_08367,1.616,1.616,4.233
par_8_2125,1.589,1.59,4.168
par_8_2178,0.063,0.101,4.371
par_8_07627,1.858,1.82,6.286
par_8_07687,7.169,7.132,11.146
par_8_07688,8.408,8.371,12.281
par_8_07689,8.428,8.391,12.304
par_8_07690,7.776,7.739,11.715
par_8_07691,7.615,7.578,11.557
par_8_1132,3.43,3.392,7.819
par_8_1134,3.771,3.733,8.138
par_8_1135,4.105,4.066,8.465
par_8_1136,4.122,4.084,8.477
par_8_1172,5.198,5.159,9.523
par_8_1173,5.172,5.133,9.494
par_8_1174,5.707,5.668,10.02
par_8_1175,5.689,5.651,9.999
par_8_1440,6.17,6.132,10.451
par_8_1441,6.158,6.119,10.44
par_8_1444,6.169,6.13,10.393
par_8_1445,6.16,6.121,10.389
par_8_1449,5.937,5.899,10.085
par_8_1450,6.133,6.094,10.344
par_8_18275,6.622,6.584,10.653
par_8_18276,6.487,6.449,10.534
par_8_4662,5.384,5.346,9.705
par_8_4663,5.412,5.373,9.727
par_8_4664,6.063,6.024,10.369
par_8_4665,6.087,6.049,10.39
par_8_4980,6.056,6.017,10.226
par_8_4982,6.268,6.23,10.348
par_8_4983,6.175,6.137,10.259
par_8_5085,5.956,5.918,10.162
par_8_5086,5.941,5.902,10.147
par_8_5380,3.408,3.37,7.798
par_8_5704,2.338,2.301,6.771
par_8_5718,2.353,2.316,6.786
par_8_5856,6.057,6.019,10.162
par_8_16732,6.311,6.273,10.61
par_8_16729,6.343,6.304,10.648
par_8_16730,6.301,6.262,10.601
par_8_16736,1.8,1.763,6.232
par_8_06165,1.704,1.673,5.591
par_8_2916,1.85,1.812,6.271
par_8_3201,1.877,1.839,6.298
par_8_07647,7.742,7.705,12.174
par_8_07654,6.934,6.896,11.333
par_8_07655,6.957,6.919,11.357
par_8_07656,7.264,7.226,11.664
par_8_07657,7.264,7.226,11.664
par_8_1191,6.447,6.409,10.821
par_8_1192,6.462,6.424,10.828
par_8_1193,6.465,6.427,10.867
par_8_1194,6.498,6.46,10.9
par_8_1787,6.391,6.353,10.74
par_8_1788,6.39,6.352,10.74
par_8_1789,6.236,6.197,10.554
par_8_1790,6.238,6.2,10.558
par_8_3559,7.532,7.495,11.958
par_8_3562,7.524,7.487,11.95
par_8_3900,7.48,7.442,11.9
par_8_3901,7.49,7.453,11.91
par_8_07640,6.788,6.753,11.218
par_8_07641,6.806,6.771,11.236
par_8_17042,3.473,3.445,7.752
par_8_5349,4.569,4.536,8.94
par_8_5687,4.416,4.383,8.784
par_8_07638,5.925,5.89,10.343
par_8_09995,7.872,7.833,12.149
par_8_11729,1.894,1.857,6.318
par_8_2843,7.274,7.235,11.562
par_8_2844,7.339,7.3,11.623
par_8_07658,7.807,7.769,12.212
par_8_07659,7.8,7.762,12.203
par_8_07660,8.438,8.4,12.848
par_8_07661,8.446,8.409,12.857
par_8_18443,8.533,8.495,12.928
par_8_18444,8.53,8.492,12.927
par_8_18445,8.423,8.385,12.781
par_8_18446,8.413,8.374,12.768
par_8_18447,8.214,8.176,12.568
par_8_18448,8.207,8.169,12.562
par_8_18454,8.198,8.161,12.617
par_8_3486,8.29,8.251,12.674
par_8_3488,8.285,8.246,12.669
par_8_3490,8.365,8.327,12.767
par_8_3494,8.354,8.316,12.757
par_8_3499,8.414,8.376,12.825
par_8_07616,6.119,6.091,10.329
par_8_17041,3.512,3.483,7.787
par_8_3994,5.035,5.007,9.249
par_8_3995,5.035,5.007,9.255
par_8_07547,7.211,7.185,11.324
par_8_07562,5.208,5.191,8.943
par_8_07567,7.251,7.225,11.362
par_8_07570,6.779,6.755,10.805
par_8_07571,6.96,6.935,11.02
par_8_07572,6.978,6.953,11.045
par_8_07603,5.356,5.338,9.131
par_8_07605,5.069,5.052,8.802
par_8_1152,5.642,5.623,9.472
par_8_1153,5.623,5.604,9.454
par_8_1156,5.954,5.932,9.875
par_8_1157,5.94,5.919,9.864
par_8_1158,6.818,6.794,10.849
par_8_12697,4.335,4.317,8.164
par_8_16165,7.437,7.41,11.577
par_8_16166,7.415,7.388,11.557
par_8_2548,4.257,4.238,8.12
par_8_3715,4.77,4.753,8.537
par_8_3716,4.766,4.749,8.539
par_8_378,6.291,6.268,10.252
par_8_379,6.302,6.279,10.259
par_8_4019,6.585,6.561,10.587
par_8_4020,6.57,6.546,10.574
par_8_5600,4.086,4.066,8.045
par_8_589,5.366,5.347,9.154
par_8_08380,6.481,6.465,10.046
par_8_660,6.426,6.408,10.126
par_8_661,6.403,6.385,10.082
par_8_662,6.465,6.445,10.278
par_8_663,6.44,6.42,10.256
par_8_667,6.19,6.168,10.117
par_8_07586,7.737,7.716,11.606
par_8_07587,7.715,7.693,11.586
par_8_359,7.343,7.323,11.111
